Model,Accuracy,Precision,Recall,F1,ROC_AUC
LogisticRegression,0.8524590163934426,0.7878787878787878,0.9285714285714286,0.8524590163934426,0.95995670995671
DecisionTree,0.6721311475409836,0.6111111111111112,0.7857142857142857,0.6875,0.6807359307359306
RandomForest,0.9016393442622951,0.84375,0.9642857142857143,0.9,0.9518398268398269
SVM,0.8524590163934426,0.7878787878787878,0.9285714285714286,0.8524590163934426,0.9448051948051948
